AAA,Anaa
FMA,El Pucu 
FMC,Five Mile
FME,Tipton AAF
FMG,Flamingo
FMH,Otis AFB
FMI,Kalemie 
FMM,Memmingen Allgau 
FMN,Four Corners Regional 
FMO,Munster Osnabruck 
FMS,Municipal
FMU,Florence Municipal
FMY,Page Field
FNA,Lungi 
FNB,Neubrandenburg
FNC,Funchal 
FND,Funadhoo 
FNE,Fane
FNG,Fada Ngourma
FNH,Fincha
FNI,Garons 
FNJ,Pyongyang Sunan 
FNK,Fin Creek
FNL,Municipalcipal 
FNR,SPB
FNT,Bishop 
FNU,Fenosu
FOA,Foula
FOB,Fort Bragg
FOC,Changle 
FOD,Fort Dodge 
FOE,Forbes Field
FOG,Gino Lisa
FOK,Suffolk County
FOM,Foumban
FON,Fortuna 
FOO,Numfoor
FOP,Morris AAF
FOR,Pinto Martins 
FOS,Forrest
FOT,Forster
FOU,Fougamou
FOX,Fox
FOY,Foya
FPO,Grand Bahama 
FPR,St Lucie County
FPY,Perry-Foley
FRA,Francfort 
FRB,Forbes
FRC,Franca
FRD,Friday Harbor 
FRE,Fera Island 
FRG,Republic Field
FRH,Municipal
FRI,Marshall AAF
FRK,Fregate Island
FRL,Luigi Ridolfi
FRM,Fairmont
FRN,Bryant AAF
FRO,Flora 
FRP,Fresh Water Bay
FRQ,Feramin
FRR,Front Royal-Warren County
FRS,Santa Elena 
FRT,Frutillar
FRU,Bishkek 
FRW,Francistown 
FRY,Fryeburg
FRZ,Fritzlar Airbase
FSC,Sud Corse 
FSD,Sioux Falls Regional  (Joe Foss Field)
FSI,Henry Post AAF
FSK,Municipal
FSL,Fossil Downs
FSM,Fort Smith Regional 
FSN,Haley AAF
FSP,Saint Pierre 
FSS,Kinloss
FST,Pecos County
FSU,Fort Sumner
FSZ,Shizuoka 
FTA,Futuna 
FTE,El Calafate 
FTI,Fitiuta
FTK,Godman AAF
FTL,Fortuna Ledge
FTU,Marillac 
FTW,Meacham Field
FTX,Owando
FTY,Fulton County
FUB,Fulleborn
FUE,Fuerteventura 
FUG,Fuyang 
FUJ,Fukue 
FUK,Fukuoka 
FUL,Municipal
FUM,Fuma
FUN,Funafuti Atol 
FUO,Fuoshan 
FUT,Futuna Island
FVL,Flora Valey
FVM,Fumawula
FVR,Forrest River 
FWA,Fort Wayne 
FWH,Fort Worth NAS Jrb/Carswell Field
FWL,Farewell
FWM,Heliport
FXE,Fort Lauderdale Executive 
FXM,Flaxman Island
FXO,Cuamba
FXY,Municipal
FYJ,Fuyuan Dongji 
FYM,Municipal
FYN,Fuyun Koktokay 
FYT,Faya
FYU,Fort Yukon 
FYV,Municipal (Drake Field)
FZL,Fuzuli 
FZO,Filton
GAA,Guamal
GAB,Gabbs
GAC,Gracias
GAD,Municipal
GAE,Gabi¨s Matmata 
GAF,Gafsa
GAG,Gage
GAH,Gayndah
GAI,Montgomery County
GAJ,Junmachi 
GAK,Gakona
GAL,Edward G. Pitka Sr. 
GAM,Gambell 
GAN,Gan/Seenu 
GAO,Los Canos 
GAP,Gusap
GAQ,Gao
GAR,Garaina
GAS,Garissa
GAT,Tallard
GAU,Lokpriya Gopinath Bordoloi 
GAV,Gag Island
GAW,Gangaw
GAX,Gamba
GAY,Gaya 
GAZ,Guasopa
GBA,Big Bay
GBB,Gabala 
GBC,Gasuke
GBD,Great Bend
GBE,Sir Seretse Khama 
GBF,Negarbo
GBG,Galesburg
GBH,Galbraith Lake
GBI,Auxiliary Airfield
GBJ,Les Bases
GBK,Gbangbatok
GBL,Goulburn Island
GBM,Garbaharey
GBO,Baltimore Greenbelt T
GBP,Gamboola
GBR,Walter J. Koladza 
GBS,Port Fitzroy
GBT,Gorgon 
GBU,Khashm El Girba
GBV,Gibb River
GBW,Ginbata 
GBZ,Great Barrier Island
GCA,Guacamaya
GCC,Campbell County 
GCD,Grand Coulee Dam
GCH,Gachsaran
GCI,Guernsey 
GCJ,Grand Central
GCK,Garden City Municipal 
GCM,Owen Roberts 
GCN,National Park
GCT,Grand Canyon Bar 10 
GCV,Gravatai
GCW,Grand Canyon West
GCY,Municipal
GDA,Gounda
GDB,Gondia 
GDC,Donaldson Center
GDD,Gordon Downs
GDE,Gode/Iddidole 
GDG,Magdagachi
GDH,Golden Horn Lodge SPB
GDI,Gordil
GDJ,Gandajika
GDL,Don Miguel Hidal Y Costilla 
GDM,Municipal
GDN,Gdansk 
GDO,Vare Maria
GDP,Guadalupe
GDQ,Gondar 
GDR,Angra dos Reis 
GDT,Grand Turk Island
GDV,Dawson Community 
GDW,Gladwin
GDX,Magadan 
GDZ,Gelendzik 
GEA,Noumea Magenta 
GEB,Gebe
GEC,Gecitkale
GED,Sussex County
GEE,George Town
GEF,Geva Airstrip
GEG,Spokane 
GEI,Green Islands
GEK,Ganes Creek
GEL,Sepe Tiaraju
GEM,President Obiang Nguema 
GEO,Cheddi Jagan 
GER,Rafael Cabrera 
GES,General Santos 
GET,Geraldton 
GEV,Gallivare 
GEW,Gewoia
GEX,Geelong
GEY,South Big Horn County
GFA,Malmstrom AFB
GFB,Togiak Fish
GFD,Pope Field
GFE,Grenfell
GFF,Griffith 
GFK,Grand Forks 
GFL,Warren County
GFN,Grafton 
GFO,Bartica
GFR,Granville
GFY,Grootfontein
GGB,igua Boa
GGC,Lumbala
GGD,Gregory Downs
GGE,Georgetown
GGF,Almeirim
GGG,Gregg County 
GGH,Gasti£o Mesquita 
GGJ,Guai­ra 
GGL,Gilgal
GGM,Kakamega 
GGN,Gagnoa
GGO,Guiglo
GGR,Garoe
GGS,Gobernador Gregores
GGT,Exuma 
GGW,Glasgow 
GHA,Noumerate 
GHB,Governor's Harbour 
GHC,Great Harbour
GHE,Garachine
GHF,Giebelstadt
GHK,Gahcho Kue Aerodrome
GHM,Municipal
GHN,Guanghan
GHS,Melak 
GHT,Ghat
GHU,Gualeguaychu
GHV,BraÈ™ov-Ghimbav 
GIB,North Front 
GIC,Boigu Island
GID,Gitega
GIF,Gilbert Field
GIG,Galeao Antonio Carlos Jobim 
GII,Siguiri
GIL,Gilgit 
GIM,Miele Mimbale
GIR,Girardot
GIS,Gisborne 
GIT,Geita
GIU,Sigiriya Slaf Base
GIY,Giyani
GIZ,Jazan Regional 
GJA,Guanaja
GJL,Jijel Ferhat Abbas 
GJM,Guajara-Mirim
GJR,Gjogur
GJT,Grand Junction Regional 
GKA,Goroka 
GKD,Gokceada
GKE,Geilenkirchen
GKH,Gorkha
GKK,Kooddoo 
GKL,Great Keppel Island
GKN,Gulkana
GKO,Kongoboumba
GKT,Gatlinburg
GLA,Glasgow 
GLB,San Calos Apache
GLC,Geladi
GLD,Renner Field
GLE,Municipal
GLF,Golfito 
GLG,Glengyle
GLH,Greenville 
GLI,Glen Innes
GLK,Galcaio
GLL,Klanten 
GLM,Glenormiston
GLN,Goulimime 
GLO,Gloucestershire
GLP,Gulgubip
GLQ,Glennallen
GLR,Otsego County
GLS,Scholes Field
GLT,Gladstone 
GLU,Gelephu 
GLV,Golovin 
GLW,Municipal
GLX,Galela
GLY,Goldsworthy
GLZ,Gilze-Rijen
GMA,Gemena
GMB,Gambela 
GMC,Guerima
GMD,Ben Slimane
GME,Gomel 
GMI,Gasmata Island
GMM,Gamboma
GMN,Greymouth
GMO,Gombe Lawanti 
GMP,Gimpo 
GMQ,Golog Maqin 
GMR,Gambier Island
GMS,Guimaraes
GMT,Granite Mountain
GMU,Greenville Downtown
GMV,Monument Valley
GMZ,La Gomera 
GNA,Grodno 
GNB,Grenoble-Isere 
GND,Maurice Bishop 
GNF,Gansner Field
GNG,Gooding
GNI,Green Island
GNJ,Ganja 
GNM,Guanambi
GNN,Ghinnir
GNR,General Roca
GNS,Gunungsitoli 
GNT,Milan
GNU,Goodnews Bay
GNV,Gainesville Regional 
GNY,Sanliurfa GAP 
GNZ,Ghanzi
GOA,Genoa Cristoforo Colombo 
GOB,Goba
GOC,Gora
GOE,Gonalia
GOF,Goodfellow AFB
GOG,Gobabis
GOH,Nuuk 
GOI,Dabolim 
GOJ,Nizhny Novgorod 
GOK,Guthrie
GOL,State
GOM,Goma 
GON,New London
GOO,Goondiwindi
GOP,Gorakhpur 
GOQ,Golmud 
GOR,Gore
GOS,Gosford
GOT,Goteborg Landvetter 
GOU,Garoua 
GOV,Nhulunbuy 
GOX,Mopa 
GOY,Tura 
GOZ,Gorna Oriahovitsa
GPA,Araxos 
GPB,Tancredo Thomaz Faria
GPD,Mount Gordon Mine
GPI,Guapi 
GPL,Guapiles
GPN,Garden Point
GPO,General Pico
GPS,Baltra 
GPT,Gulfport-Biloxi 
GPZ,Grand Rapids
GQQ,Galion
GRA,Gamarra
GRB,Austin Straubel 
GRC,Grand Cess
GRD,Greenwood
GRE,Municipal
GRF,Gray AAF
GRG,Gardez
GRH,Garuahi
GRI,Grand Island 
GRJ,George 
GRK,Robert Gray Army Airfield
GRL,Garasa
GRM,Devils Track
GRN,Gordon
GRO,Girona-Costa Brava 
GRP,Gurupi
GRQ,Eelde 
GRR,Gerald R. Ford 
GRS,Baccarini
GRT,Gujrat
GRU,Sao Paulo 
GRV,Groznyy 
GRW,Graciosa Island 
GRX,Granada 
GRY,Grimsey
GRZ,Graz 
GSA,Long Pasia
GSB,Seymour Johnson AFB
GSC,Gascoyne Junction
GSE,Gothenburg City 
GSH,Goshen
GSI,Guadalcanal
GSJ,Puerto San Jose
GSL,Taltheilei Narrows
GSM,Dayrestan 
GSN,Mount Gunson
GSO,Piedmont Triad 
GSP,Greenville-Spartanburg 
GSQ,Shark Elowainat
GSR,Gardo
GSS,Sabi Sabi
GST,Gustavus 
GSU,Gedaref
GSV,Saratov Gagarin 
GSY,Binbrook
GTA,Gatokae Aerodrom
GTB,Genting
GTC,Green Turtle
GTE,Alyangula 
GTF,Great Falls 
GTG,Municipal
GTI,Guettin
GTK,Sungei Tekai
GTN,Glentanner
GTO,Tolotio 
GTP,Grants Pass
GTR,Golden Triangle Regional 
GTS,Granites
GTT,Georgetown 
GTW,Holesov
GTY,Gettysburg
GTZ,Kirawira B
GUA,Guatemala 
GUB,Guerrero Negro
GUC,Gunnison 
GUD,Goundam
GUE,Guriaso
GUF,Edwards
GUG,Guari
GUH,Gunnedah
GUI,Guiria
GUJ,Guaratingueta
GUL,Goulburn
GUM,A.B. Won Pat 
GUN,Gunter AFB
GUO,Gualaco
GUP,Senator Clark
GUQ,Guanare
GUR,Gurney 
GUS,Grissom AFB
GUT,Guetersloh
GUU,Grundarfjordur
GUV,Mougulu
GUW,Atyrau 
GUX,Guna
GUY,Guymon
GUZ,Guarapari
GVA,Genève 
GVE,Municipal
GVI,Green River
GVL,Lee Gilmer Memorial
GVN,May-Gatka
GVP,Greenvale
GVR,Governador Valadares 
GVT,Majors Field
GVW,Richards-Gebaur
GVX,Sandviken
GWA,Gwa
GWD,Gwadar 
GWE,Gweru
GWL,Gwalior 
GWN,Gnarowein
GWO,Leflore
GWS,Glenwood Springs
GWT,Westerland - Sylt 
GWV,Glendale
GWY,Carnmore
GXA,Beringin 
GXF,Seiyun
GXG,Negage
GXH,Gannan Xiahe 
GXQ,Ten. Vidal
GXX,Yagoua
GXY,Weld County
GYA,Guayaramerin 
GYB,Wodgina 
GYD,Bakou 
GYE,Guayaquil 
GYG,Magan 
GYI,Gisenyi
GYL,Argyle
GYM,Gen Jose M Yanez
GYN,Santa Genoveva 
GYO,Bandar Udara Senubung
GYP,Gympie
GYR,Litchfield
GYS,Guang Yuan 
GYU,Guyuan Liupanshan 
GYY,Gary/Chicago
GYZ,Gruyere Mine 
GZA,Gaza - Yaser Arafat 
GZG,Garze Gesar 
GZI,Ghazni
GZM,Gozo Heliport
GZO,Gizo 
GZP,Gazipasa 
GZT,Gaziantep 
GZW,Ghazvin
HAA,Hasvik 
HAB,Marion County
HAC,Hachijo Jima 
HAD,Halmstad 
HAE,Havasupai
HAF,Half Moon
HAH,Prince Said Ibrahim Internatonal 
HAI,Dr Haines
HAJ,Hannover 
HAK,Haikou 
HAL,Halali
HAM,Hamburg 
HAN,Hanoi 
HAO,Hamilton
HAP,Long Island
HAQ,Hanimaadhoo 
HAR,Capital City
HAS,Hail 
HAT,Heathlands
HAU,Haugesund 
HAV,Jose Marti 
HAW,Haverfordwest
HAX,Hatbox Field
HAY,Haycock
HAZ,Hatzfeldthaven
HBA,Hobart 
HBB,Industrial Airpark
HBC,Hanus Bay
HBD,Habi
HBE,Borg El Arab 
HBG,The Hattiesburg-Bobby L. Chain Mun.
HBH,Hobart Bay
HBI,Harbour Island
HBK,Holbrook Municipal
HBN,Flamingo
HBO,Municipal
HBQ,Qilian 
HBR,Hobart
HBT,Hafr Albatin
HBU,Bulgan Hovd
HBX,Hubli 
HCA,Howard County
HCB,Shoal Cove
HCC,Columbia County
HCJ,Hechi Jinchengjiang 
HCM,Eil
HCN,Hengchun
HCQ,Halls Creek
HCR,Holy Cross 
HCW,Cheraw
HCZ,Chenzhou Beihu 
HDA,Hidden Falls
HDB,Airfield Heidelberg
HDD,Hyderabad
HDE,Brewster Field
HDF,Heringsdorf 
HDG,Handan 
HDH,Dillingham Airfield
HDK,Kulhudhuffushi 
HDM,Hamadan 
HDN,Yampa Valley 
HDO,Hindon 
HDR,Havadarya
HDS,Hoedspruit 
HDY,Hat Yai 
HEA,Herat 
HEB,Henzada
HED,Herendeen
HEE,Thompson-Robbins
HEH,Heho 
HEI,Heide-Buesum
HEK,Heihe 
HEL,Helsinki-Vantaa 
HEM,Helsinki-malmi
HEN,Hendon
HEO,Haelogo
HER,Heraklion 
HES,State
HET,Hohhot Baita 
HEV,Huelva
HEW,Hengdian 
HEX,Santo Domingo Herrera
HEY,Hanchey Army Heliport
HEZ,Hardy-Anders
HFA,Haifa 
HFD,Brainard
HFE,Hefei Xinqiao 
HFF,Mackall AAF
HFN,Hornafjordur
HFS,Hagfors 
HFT,Hammerfest 
HGA,Hargeisa 
HGD,Hughenden
HGE,Higuerote 
HGH,Hangzhou Xiaoshan 
HGI,Higlieg
HGL,Helgoland
HGN,Mae Hong Son 
HGO,Korhogo 
HGR,Wash. County Regional 
HGS,Hastings
HGT,Hunter AAF
HGU,Mount Hagen 
HGZ,Hogatza
HHE,Hachinohe
HHH,Hilton Head 
HHI,Wheeler AFB
HHN,Frankfurt - Hahn 
HHP,H K Heliport
HHQ,Hua Hin 
HHR,Hawthorne
HHZ,Hikueru
HIA,Huai'an Lianshui 
HIB,Chisholm 
HID,Horn Island 
HIE,Regional
HIF,Hill AFB
HIG,Highbury
HIH,Hook Island
HII,Municipal
HIJ,Hiroshima 
HIK,Hickam AFB
HIL,Shillavo
HIM,Hingurakgoda
HIN,Sacheon 
HIO,Portland
HIP,Headingly
HIR,Honiara 
HIS,Hayman Island
HIT,Haivaro
HIW,Hiroshima West
HJJ,Zhijiang 
HJR,Khajuraho 
HJT,Khujirt
HKA,Blytheville Municipal 
HKB,Healy Lake
HKD,Hakodate 
HKG,Hong Kong 
HKK,Hokitika 
HKN,Hoskins 
HKR,Mara North Airstrip
HKS,Hawkins Field
HKT,Phuket 
HKV,Haskovo
HKY,Hickory
HLA,Lanseria 
HLB,Hillenbrand
HLC,Hill City
HLD,Hulunbuir Hailar 
HLE,Saint Helena 
HLF,Hultsfred - Vimmerby
HLG,Ohio County
HLH,Ulanhot 
HLI,Hollister
HLJ,Beidahuang General 
HLL,Hillside
HLM,Park Township
HLN,Helena Regional 
HLP,Jakarta 
HLR,Fort Hood AAF
HLS,St Helens
HLT,Hamilton
HLU,Houailou
HLV,Helenvale
HLW,Hluhluwe
HLY,Anglesey 
HLZ,Hamilton 
HMA,Khanty-Mansiysk 
HMB,Mubarak 
HME,Oued Irara 
HMG,Hermannsburg
HMI,Hami 
HMJ,Khmelnitskiy
HMN,Holloman AFB
HMO,Gen Pesqueira Garcia 
HMR,Hamar 
HMS,Homeshore
HMT,Ryan Field
HMV,Hemavan 
HMY,Seosan 
HNA,Hanamaki 
HNB,Municipal
HNC,Hatteras
HND,Tokyo 
HNE,Tahneta Pass
HNG,Hienghene
HNH,Hoonah 
HNI,Heiweni
HNL,Honolulu 
HNM,Hana 
HNN,Honinabi
HNS,Haines Municipal 
HNX,Hanna
HNY,Hengyang Nanyue 
HOA,Hola
HOB,Lea County 
HOC,Komako
HOD,Hodeidah 
HOE,Houeisay
HOF,Al-Ahsa 
HOG,Frank Pais 
HOH,Hohenems-Dornbirn
HOI,Hao Island
HOK,Hooker Creek
HOL,Holikachu
HOM,Homer 
HON,Howes
HOO,Nhon Co
HOP,Campbell AAF
HOQ,Hof
HOR,Horta 
HOS,Oscar Reguera
HOT,Memorial Field
HOU,William P. Hobby 
HOV,Hovden 
HOW,Howard AFB
HOX,Homalin 
HOY,Hoy Island
HPA,Salote Pilolevu
HPB,Hooper Bay 
HPE,Hope Vale
HPG,Shennongjia Hongping 
HPH,Cat Bi 
HPN,Westchester County 
HPT,Municipal
HPV,Princeville
HPY,Baytown 
HQL,Tashkurgan 
HQM,Bowerman
HQQ,Anyang Hongqiqu 
HRA,Mansehra
HRB,Harbin Taiping 
HRC,Zhairem
HRE,Harare 
HRF,Hoarafushi 
HRG,Hurghada 
HRH,Aligarh 
HRI,Mattala Rajapaksa 
HRJ,Chaurjhari
HRK,Kharkov 
HRL,Valley 
HRM,Tilrempt
HRN,Heliport
HRO,Boone County 
HRR,Herrera
HRS,Harrismith 
HRT,Linton-On-Ouse
HRY,Henbury
HRZ,Horizontina
HSA,Hazret Sultan 
HSB,Raleigh
HSC,Shaoguan
HSF,Suifenhe Dongning 
HSG,Saga 
HSH,Henderson Executive
HSI,Hastings
HSJ,Shangjie 
HSK,Huesca-Pirineos
HSL,Huslia 
HSM,Horsham
HSN,Putuoshan 
HSP,Ingalls Field
HSR,Rajkot 
HSS,Hissar
HST,AFB
HSV,Huntsville 
HSZ,Hsinchu
HTA,Chita 
HTB,Terre-de-Bas
HTG,Hatanga 
HTH,Hawthorne
HTI,Hamilton Island 
HTL,Roscommon County
HTM,Khatgal
HTN,Hotan 
HTO,East Hampton
HTR,Hateruma
HTS,Tri-State/Milton 
HTT,Huatugou 
HTU,Hopetoun
HTV,Huntsville
HTW,Lawrence County Airpark
HTY,Hatay 
HTZ,Hato Corozal
HUA,Redstone AAF
HUB,Humbert River
HUC,Humacao 
HUD,Humboldt
HUE,Humera 
HUF,Hulman Field
HUG,Huehuetenango
HUH,Huahine 
HUI,Phu Bai 
HUJ,Hugo
HUK,Hukuntsi
HUL,International
HUM,Terrebonne
HUN,Hualien 
HUO,Holingol Huolinhe 
HUQ,Houn
HUS,Hughes Municipal 
HUT,Hutchinson
HUU,Huanuco 
HUV,Hudiksvall
HUW,Humaita
HUX,Huatulco 
HUY,Humberside 
HUZ,Huizhou 
HVA,Analalava
HVB,Hervey Bay 
HVD,Khovd 
HVE,Intermediate
HVG,Valan 
HVK,Holmavik
HVN,New Haven 
HVR,Havre City County 
HVS,Municipal
HWA,Hawabango
HWD,Hayward Executive 
HWI,SPB
HWK,Wilpena Pound
HWN,Hwange Nat Park
HWO,North Perry
HXD,Delingha 
HXX,Hay
HYA,Barnstable Municipal 
HYC,High Wycombe
HYD,Rajiv Gandhi 
HYF,Hayfields
HYG,Hydaburg Sea Plane Base
HYL,SPB
HYN,Luqiao 
HYR,Municipal
HYS,Hays Municipal 
HYV,Hyvinkaa
HZA,Establecimiento El Araza 
HZB,Merville/Calonne
HZG,Hanzhong 
HZH,Liping 
HZK,Husavik
HZL,Hazleton
HZP,Horizon
HZU,Chengdu Huaizhou 
HZV,Hazyview
IAA,Igarka 
IAB,Mcconnell AFB
IAD,Washington Dulles 
IAG,Niagara Falls 
IAH,George Bush Intercontinental 
IAL,Aeroporto Municipal de Salinas
IAM,In Amenas 
IAN,Bob Baker Memorial 
IAO,Sayak (Siargao)
IAQ,Bahregan
IAR,Tunoshna 
IAS,Iasi 
IAU,Iaura
IBA,Ibadan 
IBB,General Villamil
IBE,Ibague 
IBI,Iboki
IBL,Indigo Bay Lodge
IBM,Iron Bridge Mine 
IBO,Ibo
IBP,Iberia
IBR,Ibaraki 
IBZ,Ibiza 
ICA,Icabaru
ICC,Andri©s Miguel Salazar Marcano 
ICI,Cicia
ICK,Nieuw Nickerie
ICL,Municipal
ICN,Seoul 
ICO,Sicogon Island
ICR,Nicaro
ICS,Cascade
ICT,Wichita Dwight D. Eisenhower National 
ICY,Icy Bay
IDA,Idaho Falls Regional 
IDB,Idre
IDC,Ila Da Chilonzuene
IDF,Idiofa
IDG,Municipal
IDH,Idaho County
IDI,ndiana County  (Jimmy Stewart Field)
IDK,Indulkana
IDN,Indagen
IDO,Rio
IDP,Independence
IDR,Devi Ahilya Bai Holkar 
IDY,Ile d'Yeu
IEG,Zielona Gora-Babimost 
IEJ,Iejima
IES,Riesa
IEV,Kyiv 
IFA,Iowa Falls
IFF,Iffley
IFH,Hesa
IFJ,Isafjordur 
IFL,Innisfail
IFN,Isfahan 
IFO,Ivano-Frankovsk 
IFP,Laughlin Bullhead 
IFU,Ifuru 
IGA,Inagua 
IGB,Ingeniero Jacobacci
IGD,Igdir
IGE,Iguela
IGG,Igiugig 
IGH,Ingham
IGL,Cigli AB
IGM,Kingman
IGN,Maria Cristina
IGO,Chigorodo
IGR,Cataratas del Iguazu 
IGS,Ingolstadt-manching
IGT,Magas 
IGU,Cataratas 
IHA,Niihama
IHC,Inhaca
IHN,Qishn
IHO,Ihosy
IHR,Iran Shahr
IHU,Ihu
IIA,Inishmaan
IIL,Ilaam 
IIN,Nishinoomote
IIS,Nissan Island
IJK,Izhevsk 
IJU,J. Batista Bos Filho 
IJX,Municipal
IKA,Imam Khomeini 
IKB,Wilkes County
IKE,Tiksi 
IKI,Iki 
IKK,Greater Kankakee
IKL,Ikela
IKO,Nikolski AFS
IKP,Inkerman
IKS,Tiksi 
IKT,Irkutsk 
IKU,Issyk-Kul 
ILA,Illaga
ILB,Ilha Solteira
ILD,Lleida-Alguaire 
ILE,Municipal
ILF,Ilford
ILG,Greater Wilmington
ILH,Illis Airbase
ILI,Iliamna 
ILK,Ilaka
ILL,Willmar
ILM,Wilmington 
ILN,Clinton Field
ILO,Mandurriao 
ILP,Ile Des Pins 
ILQ,Ilo
ILR,Ilorin 
ILS,Ilopango 
ILU,Kilaguni
ILX,Ileg
ILY,Glenegedale 
ILZ,Zilina
IMB,Imbaimadai
IMD,Imonda
IMF,Imphal Municipal 
IMG,Inhaminga
IMI,Ine Island
IMK,Simikot
IML,Imperial
IMM,Immokalee
IMN,Imane
IMO,Zemio
IMP,Imperatriz 
IMQ,Maku 
IMT,Ford 
INA,Inta 
INB,Independence
INC,Yinchuan Hedong 
IND,Indianapolis 
INE,Chinde
INF,Newark Liberty
ING,Lago Argentino
INH,Inhambane 
INI,Nis Constantine the Great 
INJ,Injune
INK,Wink
INL,Falls 
INM,Innamincka
INN,Innsbruck 
INO,Inongo
INQ,Inisheer
INS,Af Aux
INT,Smith-Reynolds 
INU,Nauru
INV,Inverness 
INW,Winslow-Lindbergh
INX,Inanwatan
INY,Inyati
INZ,In Salah 
IOA,Ioannina 
IOK,Iokea
IOM,Isle of Man 
ION,Impfondo
IOP,Ioma
IOR,Kilronan
IOS,Ilheus/Bahia-Jorge Amado 
IOU,Ile Ouen
IOW,Iowa City
IPA,Ipota
IPC,Mataveri 
IPE,Ipil
IPG,Ipiranga
IPH,Ipoh 
IPI,San Luis 
IPL,Imperial County 
IPN,Usiminas 
IPT,Lycoming County 
IPU,Ipiau
IPW,Ipswich
IPZ,San Isidro de El General 
IQA,Al Asad Air Base
IQM,Qiemo 
IQN,Qingyang 
IQQ,Diego Aracena 
IQT,C.F. Secada Vignetta 
IRA,Kirakira 
IRB,Municipal
IRC,Circle City
IRD,Ishurdi
IRE,Irece
IRG,Lockhart River
IRI,Nduli 
IRJ,La Rioja 
IRK,Kirksville Municipal 
IRM,Igrim
IRN,Iriona
IRO,Birao
IRP,Matari
IRS,Kirsch Municipal
IRU,Iranamadu SPB
IRZ,Tapuruquara
ISA,Mount Isa 
ISB,Islamabad 
ISC,St Marys
ISD,Iscuande
ISE,Isparta Suleyman Demirel 
ISG,Painushima Ishigaki 
ISH,Ischia 
ISI,Isisford
ISJ,Isla Mujeres
ISK,Gandhinagar 
ISL,Istanbul Ataturk 
ISM,Kissimmee Gateway
ISN,Sloulin Field 
ISO,Stallings Field
ISP,Long Island MacArthur 
ISQ,Schoolcraft County
ISS,Wiscasset
IST,Istanbul 
ISU,Sulaimaniyah 
ISW,Alexander Field
ITA,Itacoatiara
ITB,Itaituba
ITE,Itubera
ITH,Ithaca Tompkins Regional 
ITI,Itambacuri
ITK,Itokama
ITM,Osaka 
ITN,Itabuna
ITO,Hilo 
ITP,Itaperuna
ITQ,Itaqui
ITR,Hidroeletrica
ITU,Iturup
IUE,Hanan 
IUL,Ilu
IUM,Summit Lake
IUP,Lorenzo 
IUS,Inus
IVA,Ambanja
IVC,Invercargill 
IVG,Ivangrad
IVI,Viveros Island 
IVL,Ivalo 
IVO,Chivolo
IVR,Inverell
IVW,Inverway
IWA,Ivanovo Yuzhny 
IWD,Gogebic County 
IWJ,Hagi-Iwami 
IWK,Iwakuni Kintaikyo 
IWO,Iwo Jima Airbase
IWS,West Houston
IXA,Agartala 
IXB,Bagdogra 
IXC,Chandigarh 
IXD,Bamrauli 
IXE,Mangalore 
IXG,Belgaum 
IXH,Kailashahar
IXI,Lilabari 
IXJ,Satwari 
IXK,Keshod
IXL,Leh 
IXM,Madurai 
IXN,Khowai
IXP,Pathankot
IXQ,Kamalpur
IXR,Birsa Munda 
IXS,Kumbhirgram 
IXT,Pasighat
IXU,Chikkalthana 
IXV,Along
IXW,Sonari
IXX,Bidar Air Force Station
IXY,Kandla
IXZ,Port Blair 
IYK,Kern County
IZA,Zona da Mata Regional 
IZE,Itzehoe/Hungriger Wolf 
IZO,Izumo 
IZT,Ixtepec
JAA,Jalalabad
JAB,Jabiru
JAC,Jackson Hole 
JAD,Jandakot
JAE,Shumba 
JAF,Kankesanturai
JAG,Jacobabad
JAI,Jaipur 
JAJ,Perimeter Mall
JAK,Jacmel Regional 
JAL,Jalapa
JAM,Jambol
JAN,Jackson-Evers 
JAO,Beaver Ruin
JAP,Punta Renes
JAQ,Jacquinot Bay
JAR,Jahrom
JAS,County
JAT,Jabot
JAU,Jauja 
JAV,Ilulissat 
JAW,Aeroporto de Araripina
JAX,Jacksonville 
JBB,Notohadinegoro 
JBC,Boston City Heliport
JBK,Berkeley
JBQ,La Isabela 
JBR,Jonesboro 
JBS,Hacienda Bus.Park Heliport
JBT,City Landing
JCB,Joacaba
JCC,China Basin Heliport
JCD,Downtown Heliport
JCE,Convention Center Heliport
JCH,Qasigiannguit
JCI,New Century Aircenter 
JCJ,Chuja Heliport
JCK,Julia Creek
JCL,ÄŒeski© BudÄ›jovice 
JCM,Jacobina
JCN,Incheon Heliport
JCO,Heliport
JCR,Jacareacanga
JCS,Aeroporto De Crateus 
JCT,Kimble County
JCU,Ceuta Heliport
JCY,Johnson
JDA,John Day
JDB,Downtown Heliport
JDE,Jiande Qiandaohu 
JDF,Francisco De Assis
JDG,Jeongseok
JDH,Jodhpur 
JDM,Miami Downtown Heliport
JDN,Jordan
JDO,Orlando Bezerra de Menezes 
JDP,Heliport De Paris
JDR,Sao Joao Del Rei
JDT,Downtown Heliport
JDY,Heliport
JDZ,Jingdezhen 
JED,Jeddah
JEE,Jeremie
JEF,Memorial
JEG,Aasiaat 
JEJ,Jeh
JEK,Jeki 
JEM,Heliport
JEQ,Jequie
JER,Jersey 
JFK,New York
JFM,Heliport
JFN,Ashtabula
JFR,Paamiut 
JGA,Govardhanpur 
JGB,Jagdalpur
JGD,Jiagedaqi 
JGE,Heliport
JGL,Galleria Heliport
